N,P,K,pH,S,Fe,Cu,Mn,B,Texture,Season,Rainfall,Avg.Temp,
295,9.9,486,7.4,6.64,3.21,1.25,5.25,0.23,9,1,105.4120514,18.87614998,2
238,6.8,327,7.54,4.8,2.44,0.93,7.36,0.09,3,0,89.61857826,19.12829388,1
220,9,454,7.29,4.52,4.15,0.84,8.05,0.29,7,0,71.64631281,30.32992227,0
207,12.3,496,7.6,5.73,8.55,1.25,14.51,0.32,9,1,116.5206923,21.42451099,2
207,5.9,243,7.62,7.2,2.47,0.73,7.63,0.21,3,0,71.58010169,18.72963144,1
282,12.9,612,7.9,6.6,1.29,0.33,6.21,0.61,8,0,36.12042927,28.02952623,6
213,7.5,306,7.63,8.45,3.2,1.77,9.63,0.32,8,0,50.1978269,29.61253065,5
358,9.2,370,7.59,5.13,3.55,2.02,7.51,0.34,8,1,197.1144011,28.09269012,7
345,96.5,422,7.37,5.43,7.05,0.6,6.32,0.34,7,0,38.71834464,21.12695586,3
207,7.9,612,7.44,14.6,0.47,1.47,3.16,1.88,5,1,257.0343554,24.17298839,8
320,7.5,433,7.46,8.14,9.32,0.78,9.32,0.5,8,0,94.46748008,26.88630675,7
232,11.4,570,8.1,7.1,0.63,0.42,4.32,1.13,1,0,43.25726752,27.95639663,6
351,10.7,623,7.96,7.24,4.69,0.69,11.03,0.69,7,0,36.68284038,25.86928193,3
351,9.9,570,7.4,9.65,3.79,1.33,13.05,0.31,9,1,100.6711761,17.66148158,2
75,59.2,549,7.5,10.56,3.05,0.93,6.32,0.69,8,0,44.64407105,27.88352946,6
307,8.3,11,7.49,15.8,0.57,0.73,2.13,2.47,5,1,233.1075816,21.0525355,8
264,10.7,444,7.8,10.86,8.22,0.91,10.25,0.29,8,1,36.5037914,27.32220619,5
282,8.3,486,7.47,3.2,2.66,0.64,8.57,0.14,4,0,65.50861389,19.74213321,4
88,7.5,444,7.5,7.84,4.05,1.63,7.63,0.34,4,0,94.29712821,23.31689124,4
339,6.8,570,7.5,1.7,1.45,0.33,2.72,0.36,7,0,70.1415139,34.9466155,0
213,7,718,7.5,1.8,1.29,0.09,3.09,0.33,8,0,48.9366954,27.96235681,6
169,5.9,539,7.29,7.54,5.21,1.25,5.21,0.48,8,0,186.5008581,28.23416057,7
326,11.8,444,8.02,7.54,2.02,1.24,21.02,0.46,7,0,68.83924882,32.81705216,0
307,5,327,7.58,11.6,0.68,1.14,2.79,1.23,5,0,198.6730942,21.14347496,8
295,8.6,676,7.41,26,0.71,1.97,5.15,2,5,0,265.5355937,26.31355498,8
320,65.8,528,7.5,1.5,1.14,0.2,13.92,0.29,1,0,43.95183726,29.06631494,6
182,92.1,465,8.1,5.13,4.21,2.06,7.35,0.4,7,0,36.46946971,19.1345771,3
163,7.7,517,7.32,12.6,3.42,1.6,10.61,2,5,0,280.4044392,26.73072391,8
295,7.9,623,7.3,17,4.82,0.17,10.6,0.25,8,0,51.53848218,29.2114218,6
326,5.9,517,7.41,25.7,0.65,1.16,2.27,1.35,5,0,243.5120414,25.78720567,8
276,8.3,401,7.34,14.8,0.57,1.34,2.15,2.18,5,1,272.2017204,21.44653958,8
282,13.2,433,7.34,8.45,8.05,1.36,9.02,0.61,7,0,66.47264636,30.02629908,0
351,8.6,454,7.5,19.5,2.06,1.26,2.77,1.85,5,0,242.3170629,23.28617173,8
213,5.7,496,7.49,4.52,5.26,1.26,7.54,0.42,8,0,108.5090168,33.30711818,7
276,12.9,401,7.91,7.54,2.15,0.84,6.33,0.71,8,0,37.31236904,27.23924995,6
358,12.3,612,7.3,3.5,2.58,0.74,8.72,0.12,9,1,68.4951189,19.41789736,1
333,7.9,465,7.5,7.84,2.51,0.86,15.02,0.59,9,1,81.78710463,18.31561493,1
195,5.5,507,7.57,11,0.48,0.91,1.89,1.65,5,0,204.8001847,24.97669518,8
232,87.7,665,7.29,7.84,7.53,0.75,15.21,0.55,7,0,35.15426171,28.75273118,3
307,8.3,359,7.6,5.43,7.82,0.87,13.26,0.67,8,1,40.89732789,25.16125354,5
282,15.6,602,9.5,5.13,5.7,1.07,7.54,0.34,8,1,58.99536268,24.30935081,5
207,8.3,612,7.5,4.22,6.32,0.68,8.5,0.55,4,0,79.74078719,24.9321581,4
289,10.7,549,7.3,4.83,5.02,1.84,19.22,0.17,9,1,144.1567454,19.62207826,2
113,5,370,7.6,10.1,2.75,0.97,7.96,0.18,4,0,64.23845455,24.2547451,4
251,4.8,444,7.4,7.24,4.15,0.98,13.52,0.4,4,0,109.7515385,21.54156232,4
264,7.2,496,7.6,9.95,6.53,1.87,6.25,0.42,4,0,94.26249353,18.9802729,4
69,6.8,465,7.51,11.7,0.49,1.06,2.1,1.53,5,0,295.6094492,24.87300744,8
301,6.4,327,8.1,9.05,3.32,0.9,14.59,0.5,8,0,59.18953429,24.17093241,5
169,5.3,327,7.6,4.52,5.26,1.02,6.32,0.48,9,1,89.60982451,18.59190771,1
270,14.7,465,7.4,11.16,3.64,0.59,9.8,0.32,8,1,34.96933295,24.47876451,5
301,12.7,422,8.95,8.75,5.91,0.89,13.52,0.44,8,1,41.53749535,27.09400578,5
257,8.6,380,7.5,3.62,6.32,1.36,12.03,0.25,8,1,66.35634104,28.92952635,5
213,107.5,612,7.37,5.43,7.52,1.98,15.23,0.52,7,0,47.89645224,25.87990287,3
144,81.1,401,7.41,6.64,7.51,1.25,10.25,0.34,8,0,40.77872823,29.78416743,6
326,11.8,444,7.33,4.22,9.03,0.54,6.58,0.67,7,0,53.31508572,20.39078312,3
245,7.5,422,8,4.22,9.05,1.25,9.63,0.34,8,1,122.4564203,20.04611791,7
320,9.4,454,7.86,11.46,6.14,1.25,4.51,0.42,8,1,145.3728801,27.9348279,7
201,7.7,507,7.82,7.84,6.32,0.63,13.85,0.25,8,0,30.92014047,30.43683729,5
238,8.3,412,7.06,4.6,0.34,0.63,7.13,0.65,8,0,58.37249772,27.82684262,6
251,10.5,412,7.3,5.43,4.51,1.42,8.26,0.46,9,1,121.9401369,17.48189735,2
195,125,507,7.34,6.33,7.04,0.9,4.52,0.48,7,0,52.55730112,23.89271875,3
195,12.5,507,7.34,4.8,0.51,0.35,10.22,0.52,8,0,58.41394143,29.86860065,6
282,9.4,570,7.5,5.13,2.05,1.02,12.06,0.34,9,1,60.91974792,19.88394011,2
195,8.8,454,7.47,5.13,4.96,2.01,3.2,0.53,7,0,44.07819743,18.54141834,3
232,9.9,454,7.45,6.6,3.11,0.39,1.17,1.29,8,0,52.93031105,28.36319404,6
75,7.9,327,7.8,7.24,7.32,0.87,6.32,0.4,4,0,295.9248796,21.53346343,8
276,7.2,348,7.5,10.26,2.69,1.36,9.32,0.29,8,0,52.13580529,28.19912143,5
345,6.8,327,7.58,8.45,3.87,1.57,7.02,0.21,8,1,182.2688175,28.87667593,7
289,14.7,750,7.01,6.33,8.35,1.53,13.02,0.34,7,0,35.36831423,28.234829,3
351,10.7,623,7.96,8.45,4.51,0.38,9.06,0.34,7,1,74.24459122,28.38686534,0
207,107.5,391,7.29,4.52,8.62,1.25,12.32,0.23,7,0,42.96018627,28.67408774,3
270,8.3,465,7.29,8.45,7.62,1.63,11.52,0.42,8,0,42.44054315,29.33743412,5
188,6.4,422,7.78,4.2,2.72,0.43,7.74,0.08,3,0,80.7108745,18.97424756,1
320,8.6,591,7.62,8.75,8.26,0.83,12.47,0.53,8,1,178.8998611,30.55992394,7
326,11.8,444,10.6,8.75,6.52,0.85,8.05,0.27,8,1,33.84110759,28.09568993,5
307,6.8,370,7.02,5.43,4.88,0.52,8.51,0.25,7,0,48.28137482,24.87425505,3
201,4.6,433,7.37,10.86,1.05,0.54,5.26,0.34,8,0,161.7820226,31.33170829,7
257,6.4,243,7.43,3.9,3.74,0.84,8.94,0.13,3,0,85.24819851,19.37101121,1
220,7.2,507,8,4.7,0.72,0.17,14.02,1.26,1,0,73.67166182,32.84213012,0
377,11.2,623,7.8,3.8,0.88,0.31,1.13,0.85,1,0,68.97097538,31.74379487,0
289,7.5,708,8.1,4.22,6.58,1.3,12.06,0.46,8,0,48.46797044,25.54249137,5
207,6.8,623,7.24,5.13,4.68,1.45,11.85,0.36,6,1,81.60211243,23.90910104,2
320,7.7,401,7.7,4.22,4.67,0.86,9.05,0.34,8,1,126.6738117,33.50876355,7
333,7.7,275,7.54,7.5,2.53,0.46,8.66,0.18,4,0,108.7603001,23.30546753,4
276,7.9,433,7.9,5.9,0.41,0.22,1.21,1.12,8,0,43.15411472,29.46416042,6
264,7.9,380,7.2,11.16,3.51,0.96,10.85,0.21,8,0,43.87801983,26.80474415,5
220,7,634,7.9,4.52,2.6,1.59,14.52,0.53,8,0,36.01203025,28.00937423,5
138,8.1,644,7.31,9.05,7.05,0.57,16.32,0.4,6,0,100.5978728,23.60506572,2
301,10.3,412,7,9.65,4.53,0.96,10.63,0.5,7,0,45.49683991,25.62896213,3
301,6.8,634,7.29,5.13,7.05,1.33,12.44,0.55,8,0,192.4372194,19.54314136,7
358,12.9,422,7.02,5.43,3.56,0.63,11.56,0.42,7,0,37.46160727,27.70496805,3
270,7.9,612,7.5,5.43,4.21,0.94,7.32,0.34,9,1,61.13872036,21.59343016,2
320,13.8,391,7.38,7.54,5.41,0.89,9.05,0.63,7,0,52.39881209,20.95628486,3
276,12.7,612,7.4,5.43,1.54,0.78,7.63,0.5,9,1,88.06638775,16.06522754,2
144,8.3,370,7.46,3.7,2.55,0.99,8.35,0.08,4,0,67.96704792,22.27373646,4
207,7.2,581,8.1,7.84,2.08,1.85,17.56,0.63,9,1,96.77285817,16.71170642,2
245,6.6,475,7.02,5.13,3.25,0.93,7.54,0.53,7,0,73.40452716,32.83963757,0
201,8.6,475,7.22,8.14,7.08,1.05,19.32,0.36,6,0,130.3900798,16.03768615,2
282,5.3,697,7.6,6.4,0.34,0.22,1.88,0.07,8,0,56.09542002,29.66461594,6
207,10.7,391,7.29,4.7,1.09,0.42,3.52,0.91,8,0,54.96121262,29.5888162,6
264,9.4,475,7.52,14.8,0.61,1.41,2.88,2.41,5,1,202.3838319,21.84106875,8
257,7.2,697,7.9,6.64,2.06,0.47,16.03,0.73,8,0,38.34303462,29.37687468,5
257,8.1,634,7.6,4.52,7.21,1.63,11.5,0.53,4,0,60.95197486,19.39851734,4
351,11,539,7.3,6.64,5.33,1.05,8.32,0.34,9,1,95.84253438,23.46168338,2
226,7.5,348,7.62,11.3,0.4,1.04,2.43,1.29,5,1,182.5616319,24.45802087,8
333,6.6,729,7.2,7.1,2.94,0.83,7.63,0.15,9,1,69.15759062,19.96837462,1
25,4.8,338,7.72,11.46,4.55,1.36,9.32,0.25,8,1,162.5931264,23.17409556,7
264,7.7,539,7.9,4.4,0.83,0.28,1.01,0.57,1,0,69.28607828,25.65842532,0
295,5.5,433,7.34,13.6,0.6,1.22,2.53,2.26,5,0,194.5766559,26.88444878,8
195,94.3,539,7.49,6.64,7.12,0.87,4.25,0.53,7,0,74.16699119,30.33499674,0
251,9,444,7.65,4.2,3.74,0.73,8.63,0.07,9,1,65.11365631,17.48395377,1
220,9,338,7.52,3.92,2.85,1.54,11.25,0.17,8,0,32.71129281,25.32688786,5
314,9.2,370,7.4,5.43,2.51,0.52,11.48,0.32,8,0,70.4713043,28.99319096,5
251,10.7,528,7.4,4.22,9.02,1.03,9.32,0.32,9,1,109.225556,22.91350245,2
320,13.8,391,7.38,11.16,6.67,0.65,8.12,0.48,8,1,42.24783476,24.21610338,5
257,6.8,475,7.14,4.22,9.63,0.63,8.54,0.53,8,0,176.6165894,33.80020039,7
138,6.4,454,7.21,8.75,4.51,1.85,7.45,0.63,6,1,146.4548645,21.35135729,2
264,10.5,444,7.87,10.56,4.1,0.74,14.58,0.4,8,1,74.32635105,25.50634557,5
358,13.2,444,7.8,4.52,5.26,1.25,6.25,0.48,7,0,63.29900785,28.27265858,0
169,5.9,338,7.57,8.6,3.15,0.99,9.09,0.19,4,0,79.84925393,26.16985907,4
88,7.7,539,7.12,6.64,8.52,0.57,10.25,0.31,8,0,127.7767134,30.27374995,7
82,7.9,496,7.37,11,1.03,1.04,2.35,1.82,5,1,253.7202781,24.63544858,8
320,8.3,591,7.08,5.13,8.05,0.25,18.25,0.25,9,1,63.59276673,22.8352024,2
182,89.9,454,7.55,6.94,4.15,1.02,7.15,0.67,7,0,48.77790371,24.84063998,3
213,7,327,7.71,5.1,3.46,0.76,8.47,0.1,3,0,81.98568791,18.01272266,1
301,12.9,634,7.6,6,2.43,0.78,7.68,0.12,9,1,78.69707199,18.99424448,1
270,7.7,771,7.1,8.75,7.32,2.02,19.03,0.44,8,0,34.7426459,26.85851927,5
226,15.1,549,7.2,5.1,1.7,0.29,6.59,1.69,1,0,44.30070517,28.79728147,6
151,7.2,465,7.53,8.14,4.15,0.98,7.32,0.34,8,0,35.37493212,30.39321309,5
326,10.3,507,7.88,8.75,8.63,2.01,8.63,0.32,7,0,41.45486619,25.08966129,3
226,9,422,7.43,8.14,5.22,0.78,9.25,0.42,8,0,44.56598352,28.6899851,6
364,8.3,581,7.8,9.95,4.22,1.98,16.23,0.5,9,1,108.6434544,19.91853092,2
169,8.1,549,8.23,21,0.38,1.15,3.01,2,5,1,270.4417274,20.26707606,8
207,5,560,7.4,25.4,0.46,1.53,2.43,2.12,5,1,200.0882787,22.17931888,8
370,7.2,581,7.3,5.5,1.33,0.31,8.23,0.71,1,0,63.02473185,30.41588462,0
370,6.6,591,7.3,0.64,0.77,0.18,2.11,1.18,1,0,66.63830637,30.91219459,0
320,20.4,433,7.68,3.92,6.32,1.02,7.54,0.32,8,1,186.9226052,29.65052947,7
200,6.8,391,7.67,3,2.93,0.96,8.65,0.07,3,0,74.58565097,19.46233971,1
138,6.1,348,7.4,4.52,4.85,0.85,13.05,0.29,4,0,109.2162279,24.92162194,4
182,8.1,507,7.23,10.2,2.19,1.52,2.75,2.06,5,0,185.9461429,24.88921174,8
182,7.5,338,7.51,2.8,2.84,0.94,7.73,0.14,9,0,84.78344008,20.67526473,1
132,8.3,444,7.62,13,1.2,1.25,2.76,2.65,2,0,223.3671883,26.40323239,8
320,7.5,475,7.1,3.62,6.32,0.96,4.85,0.48,9,1,143.0984171,17.84806561,2
201,8.3,539,7.12,4.52,6.35,1.02,13.22,0.63,8,0,90.05422663,29.38538562,7
276,68,296,7.65,8.75,4.12,1.32,11.25,0.4,8,0,55.296354,27.01470397,6
226,10.3,612,7.05,4.5,0.44,0.44,6.2,0.71,8,0,36.94616965,28.60901145,6
314,11.4,475,7.4,4.5,2.85,0.45,6.58,0.1,9,1,76.77888672,20.71424384,1
213,5.9,454,7.05,5.43,3.02,1.25,9.06,0.36,9,1,141.6056722,21.14011423,2
220,8.6,444,7.43,11.7,0.66,0.9,2.19,1.82,10,1,251.0549998,23.05804872,8
56,7.7,444,7.32,11.2,0.95,0.88,2.65,1.82,5,1,286.5083725,26.22916897,8
295,2.9,612,7.35,9.95,8.05,0.63,15.25,0.32,7,0,62.78730907,30.94908189,0
351,8.1,570,7.3,4.7,0.3,0.41,4.23,2.11,8,0,40.53173216,27.41503453,6
132,5.9,475,7.62,8.75,8.59,0.63,15.96,0.32,8,1,100.4673278,33.64769646,7
276,17.3,454,7.91,6.33,4.15,1.06,12.56,0.27,7,0,67.32520551,33.66855394,0
232,5.9,275,7.7,5.43,6.52,1.52,8.05,0.32,4,0,287.5766935,21.40865769,8
326,10.1,803,7.4,6,0.98,0.37,1.43,1.29,8,0,54.7960127,29.89129144,6
276,9.2,370,7.62,9.95,9.35,1.23,11.65,0.34,7,0,45.40277297,23.43974653,3
201,6.6,560,7.23,4.52,7.12,1.25,9.33,0.46,8,0,107.4721605,18.31910448,7
295,19.5,539,7.39,8.45,4.02,0.84,4.05,0.29,8,1,124.6028153,36.75087487,7
201,5.5,359,7.44,26,0.83,0.71,2.24,1.91,5,1,257.0038865,25.0756354,8
270,7,391,7.4,27.1,1.18,1.04,2.76,1.62,2,0,220.1156708,25.2827223,8
151,8.1,549,7.59,9.6,0.38,1.33,2.79,2.41,10,1,264.6148697,26.52723513,8
201,9,623,7.6,6.33,6.52,1.05,5.03,0.25,8,1,31.83192392,30.04132304,5
270,12.1,401,7.9,8.45,9.05,0.77,14.55,0.17,7,0,69.85112265,27.16159076,0
163,7.5,359,7.62,4.5,2.75,0.64,6.56,0.21,3,0,81.84997529,18.17912258,1
207,7,623,7.5,8.9,0.62,0.27,3.11,1.32,8,0,43.78420984,27.46852989,6
119,8.3,444,7.6,7.84,4.05,2.02,4.85,0.46,4,0,65.49730729,23.09348056,4
257,7.9,380,7.7,7.2,3.44,0.67,6.84,0.09,9,0,70.87150577,17.06579293,1
370,9.4,729,7.3,5.13,8.05,0.53,11.25,0.29,9,1,128.256862,17.13692774,2
207,7.7,676,7.41,15,0.92,1.43,3.12,1.85,5,1,197.9791215,22.30157427,8
226,92.1,655,7.29,6.64,8.05,0.54,14.21,0.4,7,0,49.39111479,18.29783597,3
257,6.6,401,7.9,8.45,4.96,1.57,9.36,0.5,8,0,68.80141783,31.2119298,5
195,5.9,422,7.66,7.1,3.44,0.43,8.74,0.25,3,0,77.5429424,18.81198127,1
345,5.3,306,7.51,5.43,5.91,0.32,6.23,0.55,8,1,165.4113371,29.32379604,7
169,8.3,570,7.03,5.13,7.22,0.85,3.89,0.34,9,1,103.2926407,17.00067625,2
56,6.6,401,7.46,9,0.64,1.18,3.66,2.18,2,0,195.3574542,25.42977518,8
